Players,Courts,Max Rounds,Round,1a,1b,1c,1d,,2a,2b,2c,2d,,3a,3b,3c,3d,,4a,4b,4c,4d,,5a,5b,5c,5d,,6a,6b,6c,6d,,b1,b2,b3,b4,b5,b6,
25,6,10,1,15,16,13,14,,19,18,17,20,,21,22,24,23,,7,8,5,6,,1,3,2,4,,9,11,10,12,,25,x,x,x,x,x,325
25,6,10,2,13,10,7,19,,22,25,9,5,,23,4,11,6,,12,15,8,18,,20,21,14,3,,1,24,16,17,,2,x,x,x,x,x,325
25,6,10,3,19,14,12,22,,9,8,4,16,,1,23,20,7,,15,5,3,10,,13,11,21,17,,2,25,18,6,,24,x,x,x,x,x,325
25,6,10,4,8,17,3,22,,1,12,13,25,,19,4,5,21,,2,11,7,14,,24,15,20,9,,16,18,10,23,,6,x,x,x,x,x,325
25,6,10,5,1,18,14,5,,9,13,23,3,,19,24,8,11,,15,25,17,4,,21,2,16,12,,20,10,22,6,,7,x,x,x,x,x,325
25,6,10,6,3,24,7,12,,25,20,16,11,,9,14,6,17,,1,21,8,10,,13,4,22,18,,19,15,23,2,,5,x,x,x,x,x,325
25,6,10,7,8,2,13,20,,6,3,16,19,,7,21,9,18,,25,10,14,24,,1,11,15,22,,12,17,23,5,,4,x,x,x,x,x,325
25,6,10,8,7,25,15,21,,4,6,12,24,,2,22,5,16,,1,13,19,9,,10,14,23,8,,3,11,18,17,,20,x,x,x,x,x,325
25,6,10,9,2,10,17,9,,5,13,24,11,,4,7,20,14,,16,23,18,12,,25,3,8,19,,21,6,15,1,,22,x,x,x,x,x,325
25,6,10,10,20,5,12,3,,19,10,15,4,,24,8,18,2,,7,16,17,22,,23,25,6,13,,1,9,11,14,,21,x,x,x,x,x,325
24,6,10,1,15,16,13,14,,21,22,24,23,,19,18,17,20,,7,8,5,6,,1,3,2,4,,9,11,10,12,,x,x,x,x,x,x,300
24,6,10,2,13,10,7,19,,22,2,9,5,,1,24,16,17,,12,15,8,18,,3,21,14,20,,23,4,11,6,,x,x,x,x,x,x,300
24,6,10,3,19,14,12,22,,9,8,4,16,,1,23,20,7,,15,5,3,10,,13,11,21,17,,2,24,18,6,,x,x,x,x,x,x,300
24,6,10,4,8,17,3,22,,1,13,12,6,,19,4,5,21,,24,15,20,9,,2,11,7,14,,16,18,10,23,,x,x,x,x,x,x,300
24,6,10,5,1,14,18,5,,9,13,23,3,,19,24,8,11,,15,7,17,4,,21,2,16,12,,20,10,22,6,,x,x,x,x,x,x,300
24,6,10,6,3,24,7,12,,5,20,16,11,,19,15,23,2,,1,21,8,10,,9,14,6,17,,13,4,22,18,,x,x,x,x,x,x,300
24,6,10,7,1,22,11,15,,9,18,21,7,,23,5,12,17,,16,6,3,19,,20,2,8,13,,14,10,4,24,,x,x,x,x,x,x,300
24,6,10,8,1,15,6,9,,3,16,7,11,,18,21,22,17,,10,5,2,13,,4,14,12,8,,19,23,20,24,,x,x,x,x,x,x,300
24,6,10,9,17,2,10,16,,18,3,14,23,,19,8,9,1,,20,4,12,13,,21,11,6,15,,22,7,5,24,,x,x,x,x,x,x,300
24,6,10,10,24,13,1,17,,9,19,14,5,,23,8,2,15,,18,11,3,12,,22,16,4,7,,6,10,20,21,,x,x,x,x,x,x,300
24x,6,8,1,1,3,4,2,,9,23,10,24,,7,8,5,6,,13,15,16,14,,11,21,12,22,,19,20,17,18,,x,x,x,x,x,x,300
24x,6,8,2,4,8,10,7,,1,11,3,6,,12,5,2,9,,16,20,22,19,,13,23,15,18,,24,17,14,21,,x,x,x,x,x,x,300
24x,6,8,3,10,1,12,8,,5,19,3,21,,2,6,11,4,,22,13,24,20,,7,17,9,15,,14,18,23,16,,x,x,x,x,x,x,300
24x,6,8,4,2,7,3,12,,6,17,10,16,,9,1,11,8,,14,19,15,24,,5,18,4,22,,21,13,23,20,,x,x,x,x,x,x,300
24x,6,8,5,3,8,6,9,,2,10,5,11,,12,13,4,19,,15,20,18,21,,1,24,7,16,,14,22,17,23,,x,x,x,x,x,x,300
24x,6,8,6,11,7,9,4,,10,20,3,14,,5,1,6,12,,23,19,21,16,,8,22,2,15,,17,13,18,24,,x,x,x,x,x,x,300
24x,6,8,7,1,4,9,5,,6,23,2,20,,3,7,10,12,,13,16,21,17,,11,18,8,14,,15,19,22,24,,x,x,x,x,x,x,300
24x,6,8,8,3,23,5,24,,8,20,4,16,,21,9,14,2,,1,19,10,18,,11,15,12,17,,7,13,6,22,,x,x,x,x,x,x,300
24x,6,8,9,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,x,x,x,x,x,x,0
24x,6,8,10,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,x,x,x,x,x,x,0
23,5,10,1,7,8,5,6,,9,11,10,12,,19,18,17,20,,1,3,2,4,,15,16,13,14,,x,x,x,x,,21,22,23,x,x,x,276
23,5,10,2,1,13,12,6,,21,4,5,19,,8,17,3,22,,9,20,23,15,,7,11,2,14,,x,x,x,x,,16,18,10,x,x,x,276
23,5,10,3,1,8,21,10,,9,14,6,17,,13,18,22,4,,3,12,7,23,,20,11,16,5,,x,x,x,x,,19,15,2,x,x,x,276
23,5,10,4,2,18,23,6,,9,16,4,8,,19,22,12,14,,5,3,15,10,,21,11,13,17,,x,x,x,x,,1,7,20,x,x,x,276
23,5,10,5,1,5,14,18,,22,10,20,6,,19,23,8,11,,15,7,17,4,,12,2,16,21,,x,x,x,x,,9,13,3,x,x,x,276
23,5,10,6,9,2,22,5,,19,10,7,13,,1,17,16,23,,12,15,8,18,,3,20,14,21,,x,x,x,x,,11,4,6,x,x,x,276
23,5,10,7,1,15,11,22,,9,21,18,7,,19,6,3,16,,14,10,4,23,,8,2,20,13,,x,x,x,x,,17,5,12,x,x,x,276
23,5,10,8,17,9,5,13,,2,15,1,19,,3,11,4,20,,7,6,21,12,,16,22,10,18,,x,x,x,x,,8,14,23,x,x,x,276
23,5,10,9,12,17,2,10,,3,18,13,11,,4,6,8,14,,1,20,9,7,,23,22,21,5,,x,x,x,x,,19,15,16,x,x,x,276
23,5,10,10,7,16,22,17,,6,11,15,21,,12,4,20,5,,9,3,19,14,,2,23,13,8,,x,x,x,x,,1,10,18,x,x,x,276
22,5,10,1,1,3,2,4,,9,11,10,12,,19,18,17,20,,7,8,5,6,,15,16,13,14,,x,x,x,x,,22,21,x,x,x,x,253
22,5,10,2,1,12,22,5,,14,2,11,7,,8,4,18,16,,19,13,21,3,,9,15,17,6,,x,x,x,x,,20,10,x,x,x,x,253
22,5,10,3,14,3,17,5,,10,13,18,7,,11,6,4,20,,22,15,21,8,,9,16,19,2,,x,x,x,x,,1,12,x,x,x,x,253
22,5,10,4,22,13,17,11,,21,5,2,20,,6,10,16,3,,1,18,14,9,,7,19,4,12,,x,x,x,x,,8,15,x,x,x,x,253
22,5,10,5,7,16,1,21,,19,14,22,6,,5,9,4,13,,10,8,2,17,,15,3,20,12,,x,x,x,x,,18,11,x,x,x,x,253
22,5,10,6,1,20,13,8,,4,14,21,10,,15,11,19,5,,2,18,6,12,,22,3,9,7,,x,x,x,x,,16,17,x,x,x,x,253
22,5,10,7,10,16,5,20,,2,15,22,4,,1,7,17,19,,21,11,18,6,,8,14,13,12,,x,x,x,x,,9,3,x,x,x,x,253
22,5,10,8,9,10,15,21,,5,16,22,18,,20,3,12,14,,6,2,13,1,,8,17,11,4,,x,x,x,x,,19,7,x,x,x,x,253
22,5,10,9,7,22,20,9,,1,15,11,10,,12,17,16,21,,3,18,19,8,,4,5,6,14,,x,x,x,x,,2,13,x,x,x,x,253
22,5,10,10,14,20,8,9,,11,3,16,2,,7,15,12,18,,10,19,22,1,,13,17,21,4,,x,x,x,x,,5,6,x,x,x,x,253
21,5,10,1,1,3,2,4,,9,11,10,12,,19,18,17,20,,7,8,5,6,,15,16,13,14,,x,x,x,x,,21,x,x,x,x,x,231
21,5,10,2,3,7,18,15,,21,20,12,8,,9,4,13,6,,1,19,16,11,,14,17,5,2,,x,x,x,x,,10,x,x,x,x,x,231
21,5,10,3,10,18,1,5,,3,14,21,7,,20,4,15,11,,6,16,12,17,,19,8,2,9,,x,x,x,x,,13,x,x,x,x,x,231
21,5,10,4,3,8,10,17,,14,15,12,19,,9,5,4,16,,11,18,21,13,,6,7,1,2,,x,x,x,x,,20,x,x,x,x,x,231
